filename.meta,filename,language,modelLanguage
1000072303.meta.json,1000072303.json,de,coloredpetrinet
1000134475.meta.json,1000134475.json,de,bpmn20
1000192834.meta.json,1000192834.json,en,bpmn20
1000193243.meta.json,1000193243.json,en,bpmn20
1000213195.meta.json,1000213195.json,hr,bpmn11
1000228108.meta.json,1000228108.json,en,epc
10002709.meta.json,10002709.json,en,bpmn20conversation
100028644.meta.json,100028644.json,cs,bpmn20
1000300408.meta.json,1000300408.json,de,bpmn20
1935140370.meta.json,1935140370.json,de,organigram
19351740.meta.json,19351740.json,de,epc
1935389234.meta.json,1935389234.json,de,epc
1935463192.meta.json,1935463192.json,en,bpmn20
1935584457.meta.json,1935584457.json,en,bpmn20
19356261.meta.json,19356261.json,de,epc
708018745.meta.json,708018745.json,de,bpmn20
708095029.meta.json,708095029.json,en,epc
708194268.meta.json,708194268.json,en,bpmn20
708334667.meta.json,708334667.json,hr,bpmn20
708347295.meta.json,708347295.json,en,bpmn20
708370702.meta.json,708370702.json,en,bpmn20
1585158321.meta.json,1585158321.json,it,bpmn20
1585230885.meta.json,1585230885.json,en,bpmn20
1585277378.meta.json,1585277378.json,en,organigram
1585322237.meta.json,1585322237.json,de,bpmn20
1585388758.meta.json,1585388758.json,de,bpmn20
1585420055.meta.json,1585420055.json,en,bpmn11
1585491911.meta.json,1585491911.json,en,bpmn20
1585657713.meta.json,1585657713.json,en,epc
1585843988.meta.json,1585843988.json,en,bpmn20
1585930367.meta.json,1585930367.json,de,bpmn20
158596669.meta.json,158596669.json,en,bpmn20
1279192210.meta.json,1279192210.json,de,bpmn20
1279301972.meta.json,1279301972.json,en,bpmn20
127935171.meta.json,127935171.json,de,bpmn20
1279462174.meta.json,1279462174.json,en,organigram
1279555583.meta.json,1279555583.json,en,bpmn20
127957156.meta.json,127957156.json,hr,bpmn11
1279598910.meta.json,1279598910.json,en,bpmn20
1279792256.meta.json,1279792256.json,en,epc
1000796620.meta.json,1000796620.json,en,bpmn20
100201977.meta.json,100201977.json,en,bpmn20
1004323525.meta.json,1004323525.json,en,bpmn20
1005491117.meta.json,1005491117.json,en,processmap
1005755503.meta.json,1005755503.json,hr,bpmn11
1006453108.meta.json,1006453108.json,de,bpmn20
1006741644.meta.json,1006741644.json,en,bpmn20
1010268378.meta.json,1010268378.json,undetermined language,bpmn20
405422265.meta.json,405422265.json,en,bpmn20
405461936.meta.json,405461936.json,en,bpmn20
405602883.meta.json,405602883.json,de,bpmn11
405606642.meta.json,405606642.json,de,bpmn20
405646603.meta.json,405646603.json,de,bpmn11
405660374.meta.json,405660374.json,de,bpmn20
405731890.meta.json,405731890.json,en,bpmn20
405862569.meta.json,405862569.json,de,bpmn20
1780559135.meta.json,1780559135.json,en,bpmn20
1780575334.meta.json,1780575334.json,en,bpmn20conversation
1780619755.meta.json,1780619755.json,en,epc
1780734307.meta.json,1780734307.json,en,epc
1780756148.meta.json,1780756148.json,hu,epc
1780813046.meta.json,1780813046.json,en,bpmn20
178090114.meta.json,178090114.json,de,bpmn20choreography
1780923815.meta.json,1780923815.json,en,bpmn11
1780958265.meta.json,1780958265.json,undetermined language,bpmn20
1781056610.meta.json,1781056610.json,nl,bpmn20
